,registration,milage,duration,fee,emission,consumption,horsepower,brand,model,gear,fuel
48,0,15.0,48.0,429.01,129.0,5.0,120.0,Hyundai,"i30 CW 1,0 T-GDI GO Plus!",Manuelle Schaltung,Benzin
49,2,0.0,48.0,755.81,151.0,7.0,150.0,Audi,Q3 Sportback 35 TDI,Manuelle Schaltung,Diesel
50,4,1.0,48.0,512.39,105.0,5.0,116.0,Skoda,Octavia ŠKODA Combi Style TDI,Manuelle Schaltung,Diesel
51,22,27500.0,48.0,592.66,119.0,5.0,220.0,BMW,X1 xDrive25e PHEV M-Paket,Automatik,Hybrid
52,8,48000.0,48.0,537.86,131.0,6.0,122.0,Volkswagen,Tiguan VW Life TDI,Manuelle Schaltung,Diesel
53,8,2491.0,48.0,452.18,120.0,5.0,110.0,Opel,Crossland X Crossland 1.2 Turbo Business FLA LED S,Manuelle Schaltung,Benzin
54,23,57424.0,48.0,556.6,127.0,6.0,136.0,Audi,A4 Avant 30 TDI advanced,Automatik,Diesel
55,3,1.0,48.0,599.64,138.0,5.0,150.0,Seat,Ateca FR 1.5 TSI ACT DSG,Automatik,Benzin
56,43,20356.0,48.0,321.31,126.0,6.0,95.0,Audi,A1 Sportback 25 TFSI advanced exterieur,Manuelle Schaltung,Benzin
57,2,201.0,48.0,574.01,135.0,5.0,150.0,Skoda,Octavia ŠKODA Combi Style TDI DSG,Automatik,Diesel
58,2,201.0,48.0,382.58,109.0,4.0,95.0,Volkswagen,T-Cross VW Life TSI,Manuelle Schaltung,Benzin
59,7,15000.0,48.0,239.62,115.0,5.0,80.0,Seat,Ibiza Austria Edition,Manuelle Schaltung,Benzin
60,4,1.0,48.0,309.11,139.0,5.0,80.0,Volkswagen,Polo VW,Manuelle Schaltung,Benzin
61,41,105301.0,48.0,587.75,109.0,5.0,190.0,Audi,A4 Avant 40 TDI quattro S line,Automatik,Diesel
62,35,18903.0,48.0,256.33,138.0,5.0,80.0,Volkswagen,Polo VW,Manuelle Schaltung,Benzin
63,8,48000.0,48.0,539.72,101.0,4.0,122.0,Volkswagen,Tiguan VW Life TDI,Manuelle Schaltung,Diesel
