,registration,milage,duration,fee,emission,consumption,horsepower,brand,model,gear,fuel
3348,22,23684.0,48.0,570.36,127.0,6.0,150.0,BMW,X2 xDrive18d,Automatik,Diesel
3349,59,79046.0,48.0,522.85,156.0,7.0,190.0,Audi,A4 Avant 2.0 TDI quattro Sport,Automatik,Diesel
3350,4,1.0,48.0,511.56,130.0,5.0,110.0,Seat,Ateca Xperience 1.0 TSI,Manuelle Schaltung,Benzin
3351,64,188900.0,36.0,624.83,140.0,6.0,354.0,Audi,Q5 S quattro,Automatik,Benzin
3352,4,10.0,36.0,1538.53,155.0,7.0,193.0,Hyundai,"Santa Fe 5 Luxury Line 2,2 CRDi 4WD DCT s1dl0",Automatik,Diesel
3353,4,1000.0,48.0,274.61,154.0,7.0,60.0,Skoda,Fabia ŠKODA Combi Active SC,Manuelle Schaltung,Benzin
3354,7,6000.0,48.0,508.74,167.0,6.0,150.0,Seat,Ateca FR 1.5 TSI ACT,Manuelle Schaltung,Benzin
3355,20,17000.0,36.0,2100.01,161.0,7.0,394.0,BMW,X5 xDrive45e PHEV X-LINE,Automatik,Hybrid
3356,74,75350.0,36.0,431.46,139.0,6.0,116.0,MINI,Cooper R50/R52/R56 D D,Manuelle Schaltung,Diesel
3357,24,18135.0,48.0,385.52,140.0,5.0,131.0,Opel,Crossland X Crossland 1.2 Turbo Business Edition A,Automatik,Benzin
3358,3,10.0,48.0,566.29,118.0,5.0,131.0,Volkswagen,Golf VW R-Line mHeV TSI DSG,Automatik,Benzin
3359,9,1.0,36.0,417.0,127.0,6.0,131.0,Fiat,Tipo (357) Kombi,Manuelle Schaltung,Diesel
3360,26,18000.0,36.0,1491.99,117.0,5.0,184.0,BMW,420 i,Automatik,Benzin
3361,58,109350.0,48.0,404.75,132.0,5.0,150.0,Skoda,Superb ŠKODA Combi Style TDI SCR DSG,Automatik,Diesel
3362,4,9.0,48.0,306.17,126.0,6.0,80.0,Volkswagen,Polo VW,Manuelle Schaltung,Benzin
3363,4,9.0,48.0,306.17,115.0,5.0,80.0,Volkswagen,Polo VW,Manuelle Schaltung,Benzin
3364,56,130727.0,48.0,349.04,124.0,5.0,136.0,Opel,"Insignia ST 1.6 CDTI OPC-Int.,LED,Navi,AGR,SHZ",Manuelle Schaltung,Diesel
3365,3,201.0,48.0,457.1,130.0,6.0,150.0,Skoda,Fabia ŠKODA Monte Carlo TSI DSG,Automatik,Benzin
3366,32,39611.0,48.0,338.44,120.0,5.0,90.0,Volkswagen,Golf VW Rabbit TSI,Manuelle Schaltung,Benzin
3367,10,2725.0,48.0,266.52,169.0,6.0,60.0,Skoda,Fabia ŠKODA Combi Active SC,Manuelle Schaltung,Benzin
3368,41,109182.0,48.0,366.21,,,136.0,Opel,"Insignia ST 1.6CDTI LED,Leder,Navi,AHK-schwenkb",Automatik,Diesel
3369,31,30030.0,36.0,467.47,169.0,6.0,116.0,Hyundai,"i30 Kombi - PD i-Line Plus 1,6 CRDi c1kp3",Manuelle Schaltung,Diesel
3370,11,5452.0,36.0,650.82,152.0,6.0,120.0,Hyundai,"KONA Edition 30 plus 1,0 T-GDi 2WD 48V k2bx1",Manuelle Schaltung,Hybrid
3371,3,2000.0,48.0,1222.74,151.0,7.0,204.0,Audi,Q5 40 TDI quattro S line,Automatik,Diesel
3372,57,120939.0,48.0,305.16,140.0,6.0,136.0,Opel,"Astra ST 1.6 CDTI Aut. LED,Navi,AHK,Standheiz.",Automatik,Diesel
3373,43,59911.0,48.0,489.11,140.0,6.0,190.0,Volkswagen,Passat VW Variant Elegance TDI SCR DSG,Automatik,Diesel
3374,18,11012.0,48.0,336.78,127.0,6.0,95.0,Seat,Arona Style 1.0 TSI,Manuelle Schaltung,Benzin
3375,3,201.0,48.0,1470.04,140.0,6.0,390.0,Cupra,Formentor VZ5 2.5 TSI Special Edition,Automatik,Benzin
3376,4,10000.0,48.0,382.06,140.0,6.0,110.0,Skoda,Scala ŠKODA Sport TSI,Manuelle Schaltung,Benzin
3377,4,201.0,48.0,287.58,127.0,6.0,65.0,Skoda,Fabia ŠKODA Ambition,Manuelle Schaltung,Benzin
3378,30,13764.0,48.0,404.51,151.0,7.0,200.0,Volkswagen,Polo VW GTI TSI OPF DSG,Automatik,Benzin
3379,8,10.0,36.0,584.4,151.0,7.0,110.0,Citroën,C3 PureTech 110 S&S EAT6 Shine,Automatik,Benzin
3380,8,25000.0,48.0,640.1,151.0,7.0,150.0,Seat,Ateca FR 2.0 TDI DSG 4Drive,Automatik,Diesel
3381,22,23000.0,36.0,2385.31,151.0,7.0,510.0,BMW,X3 M Competition Individual,Automatik,Benzin
3382,8,15000.0,48.0,698.99,151.0,7.0,190.0,Cupra,Formentor 2.0 TSI DSG 4Drive,Automatik,Benzin
3383,4,15000.0,48.0,643.92,151.0,7.0,150.0,Seat,Ateca FR 2.0 TDI DSG 4Drive,Automatik,Diesel
3384,40,29899.0,48.0,668.04,,,170.0,BMW,i3 120 Ah *LED SCHEINW.*PDC*KOMFORTPAKET*vermietet,Automatik,Benzin
3385,30,65714.0,48.0,624.08,146.0,7.0,150.0,Volkswagen,Passat VW Variant Elegance TDI DSG,Automatik,Diesel
3386,43,99980.0,48.0,739.49,108.0,4.0,286.0,Audi,A6 Avant 50 TDI quattro Design,Automatik,Diesel
3387,48,35500.0,48.0,486.28,142.0,6.0,184.0,Mazda,CX-5 CD184 AWD Revolution Aut.,Automatik,Diesel
3388,9,5537.0,48.0,478.84,132.0,5.0,131.0,Volkswagen,Golf VW Life TSI ACT,Manuelle Schaltung,Benzin
3389,2,201.0,48.0,574.01,125.0,5.0,150.0,Skoda,Octavia ŠKODA Combi Style TDI DSG,Automatik,Diesel
3390,2,201.0,48.0,382.58,116.0,5.0,95.0,Volkswagen,T-Cross VW Life TSI,Manuelle Schaltung,Benzin
3391,4,1.0,48.0,309.11,147.0,7.0,80.0,Volkswagen,Polo VW,Manuelle Schaltung,Benzin
3392,35,18903.0,48.0,256.33,177.0,6.0,80.0,Volkswagen,Polo VW,Manuelle Schaltung,Benzin
3393,41,105301.0,48.0,587.75,348.0,15.0,190.0,Audi,A4 Avant 40 TDI quattro S line,Automatik,Diesel
3394,8,48000.0,48.0,539.72,126.0,6.0,122.0,Volkswagen,Tiguan VW Life TDI,Manuelle Schaltung,Diesel
3395,50,135173.0,48.0,362.57,133.0,6.0,150.0,Skoda,Octavia ŠKODA Combi Style TDI DSG,Automatik,Diesel
3396,52,57909.0,48.0,242.28,118.0,4.0,86.0,Seat,Leon Kombi Reference TSI,Manuelle Schaltung,Benzin
3397,34,73940.0,48.0,437.7,133.0,6.0,150.0,Volkswagen,Passat VW Variant Business TDI SCR DSG,Automatik,Diesel
3398,0,15.0,48.0,423.18,122.0,5.0,120.0,Hyundai,"i30 CW 1,0 T-GDI GO Plus!",Manuelle Schaltung,Benzin
3399,3,25.0,48.0,904.15,146.0,7.0,150.0,Skoda,Kodiaq ŠKODA 4x4 SPORTLINE TDI DSG,Automatik,Diesel
3400,23,26189.0,48.0,445.8,117.0,5.0,110.0,Audi,A3 Sportback 30 TFSI intense,Manuelle Schaltung,Benzin
3401,0,15.0,48.0,414.94,126.0,6.0,120.0,Hyundai,"i30 1,0 T-GDI GO Plus!",Manuelle Schaltung,Benzin
3402,29,20020.0,48.0,374.9,119.0,5.0,125.0,Ford,"Puma 1,0 EcoBoost Hybrid ST-Line",Manuelle Schaltung,Benzin
3403,35,46669.0,48.0,374.27,117.0,5.0,120.0,Opel,Crossland X 1.5 CDTI BlueIn. Innovation Start/Stop,Automatik,Diesel
3404,0,15.0,48.0,429.01,135.0,6.0,120.0,Hyundai,"i30 CW 1,0 T-GDI GO Plus!",Manuelle Schaltung,Benzin
3405,2,0.0,48.0,755.81,118.0,4.0,150.0,Audi,Q3 Sportback 35 TDI,Manuelle Schaltung,Diesel
3406,4,1.0,48.0,512.39,,,116.0,Skoda,Octavia ŠKODA Combi Style TDI,Manuelle Schaltung,Diesel
3407,8,2491.0,48.0,452.18,,,110.0,Opel,Crossland X Crossland 1.2 Turbo Business FLA LED S,Manuelle Schaltung,Benzin
3408,23,57424.0,48.0,556.6,123.0,5.0,136.0,Audi,A4 Avant 30 TDI advanced,Automatik,Diesel
3409,3,1.0,48.0,599.64,175.0,7.0,150.0,Seat,Ateca FR 1.5 TSI ACT DSG,Automatik,Benzin
3410,5,9870.0,48.0,960.58,231.0,10.0,310.0,Cupra,Formentor VZ 2.0 TSI DSG 4Drive,Automatik,Benzin
3411,2,50.0,48.0,797.47,157.0,7.0,150.0,Skoda,Octavia ŠKODA Combi 4x4 SCOUT TDI DSG,Automatik,Diesel
3412,3,1.0,48.0,514.3,115.0,5.0,110.0,Audi,A3 Sportback 30 TFSI intense,Automatik,Benzin
3413,13,9448.0,48.0,388.91,159.0,7.0,95.0,Seat,Arona FR Austria 1.0 TSI,Manuelle Schaltung,Benzin
3414,3,1.0,48.0,576.74,136.0,5.0,110.0,Volkswagen,T-Roc VW Cabriolet Style TSI,Manuelle Schaltung,Benzin
3415,2,1.0,48.0,712.44,127.0,6.0,150.0,Cupra,Formentor 1.5 TSI DSG ACT,Automatik,Benzin
3416,3,1000.0,48.0,421.56,136.0,5.0,110.0,Skoda,Kamiq ŠKODA Active TSI,Manuelle Schaltung,Benzin
3417,50,103693.0,48.0,379.44,127.0,6.0,150.0,Skoda,Octavia ŠKODA Combi Style TDI DSG,Automatik,Diesel
3418,3,1.0,48.0,330.97,157.0,6.0,95.0,Seat,Ibiza FR Austria 1.0 TSI,Manuelle Schaltung,Benzin
3419,47,42932.0,48.0,404.75,239.0,11.0,116.0,Volkswagen,T-Roc VW Design TDI,Manuelle Schaltung,Diesel
3420,8,4100.0,48.0,577.93,132.0,5.0,150.0,Seat,Ateca FR 1.5 TSI ACT DSG,Automatik,Benzin
3421,29,49638.0,48.0,437.7,151.0,6.0,116.0,Audi,A3 Sportback 30 TDI advanced ext.,Manuelle Schaltung,Diesel
3422,59,81115.0,48.0,436.19,145.0,6.0,150.0,Volkswagen,Touran VW Comfortline TDI SCR DSG 7-Sitzer,Automatik,Diesel
3423,2,201.0,48.0,574.24,126.0,6.0,150.0,Skoda,Karoq ŠKODA Style TSI DSG ACT,Automatik,Benzin
3424,2,5000.0,48.0,767.81,,,245.0,Seat,Tarraco FR 2.0 TSI DSG 4Drive,Automatik,Benzin
3425,4,15000.0,48.0,491.72,113.0,4.0,110.0,Volkswagen,Golf VW Variant Life TSI,Manuelle Schaltung,Benzin
3426,4,15000.0,48.0,489.44,147.0,6.0,110.0,Volkswagen,Golf VW Variant Life TSI,Manuelle Schaltung,Benzin
3427,2,201.0,48.0,423.9,133.0,5.0,110.0,Seat,Arona FR Austria 1.0 TSI,Manuelle Schaltung,Benzin
3428,3,1.0,48.0,448.02,222.0,9.0,110.0,Seat,Arona FR Austria 1.0 TSI DSG,Automatik,Benzin
3429,63,77068.0,36.0,490.32,155.0,6.0,150.0,Volkswagen,Touran VW Comfortline TSI DSG,Automatik,Benzin
3430,2,201.0,48.0,789.53,113.0,4.0,150.0,Cupra,Formentor VZ e-HYBRID DSG,Automatik,Hybrid
3431,6,5000.0,48.0,773.7,198.0,9.0,150.0,Seat,Tarraco FR eHYBRID 245 DSG,Automatik,Hybrid
3432,4,5000.0,48.0,799.12,126.0,6.0,150.0,Seat,Tarraco FR eHYBRID 245 DSG,Automatik,Hybrid
3433,7,5000.0,48.0,741.72,119.0,5.0,150.0,Seat,Tarraco FR eHYBRID 245 DSG,Automatik,Hybrid
3434,4,5000.0,48.0,815.1,138.0,5.0,150.0,Seat,Tarraco FR eHYBRID 245 DSG,Automatik,Hybrid
3435,3,1.0,48.0,399.6,115.0,5.0,95.0,Seat,Arona FR Austria 1.0 TSI,Manuelle Schaltung,Benzin
3436,2,1000.0,48.0,327.49,109.0,5.0,90.0,Seat,Leon Reference 1.0 TSI,Manuelle Schaltung,Benzin
3437,3,1.0,48.0,470.88,139.0,5.0,110.0,Seat,Arona FR Austria 1.0 TSI DSG,Automatik,Benzin
3438,8,48000.0,48.0,564.86,138.0,5.0,122.0,Volkswagen,Tiguan VW Life TDI,Manuelle Schaltung,Diesel
3439,4,5000.0,48.0,553.01,101.0,4.0,150.0,Seat,Ateca FR 1.5 TSI ACT DSG,Automatik,Benzin
3440,8,48000.0,48.0,571.61,124.0,6.0,122.0,Volkswagen,Tiguan VW Life TDI,Manuelle Schaltung,Diesel
3441,2,4.0,48.0,420.14,125.0,6.0,110.0,Skoda,Kamiq ŠKODA Ambition TSI,Manuelle Schaltung,Benzin
3442,4,15000.0,48.0,553.01,115.0,5.0,150.0,Seat,Ateca FR 1.5 TSI ACT DSG,Automatik,Benzin
3443,2,5000.0,48.0,796.26,99.0,4.0,245.0,Seat,Tarraco FR 2.0 TSI DSG 4Drive,Automatik,Benzin
3444,7,5000.0,48.0,799.12,129.0,5.0,150.0,Seat,Tarraco FR eHYBRID 245 DSG,Automatik,Hybrid
3445,8,48000.0,48.0,554.74,195.0,9.0,122.0,Volkswagen,Tiguan VW Life TDI,Manuelle Schaltung,Diesel
3446,4,4000.0,48.0,344.62,144.0,6.0,95.0,Seat,Arona FR Austria 1.0 TSI,Manuelle Schaltung,Benzin
3447,53,107586.0,48.0,471.38,113.0,5.0,150.0,Audi,A5 Sportback 2.0 TDI Sport,Automatik,Diesel
3448,4,1.0,48.0,740.44,134.0,6.0,150.0,Seat,Ateca FR 2.0 TDI DSG 4Drive,Automatik,Diesel
3449,3,3000.0,48.0,365.48,140.0,6.0,92.0,Toyota,Yaris 1.5 VVT-i Hybrid GR Sport KlimaA KAM,Automatik,Benzin
3450,32,74146.0,48.0,843.41,122.0,5.0,177.0,Seat,Alhambra FR TDI DSG 4Drive,Automatik,Diesel
3451,4,201.0,48.0,590.75,42.0,2.0,150.0,Seat,Tarraco Austria Edition 1.5 TSI ACT,Manuelle Schaltung,Benzin
3452,24,13310.0,48.0,331.27,33.0,2.0,110.0,Opel,Crossland X Crossland 1.2 Turbo Business Edition,Manuelle Schaltung,Benzin
3453,8,1.0,48.0,958.14,39.0,2.0,192.0,Mazda,CX-60 2.5L e-SKYACTIV PHEV AWD HOMURA CON/DRI/COM Aut.,Automatik,Hybrid
3454,35,53190.0,48.0,392.02,125.0,6.0,150.0,Ford,"Mondeo Traveller 2.0TDI Aut. LED,Navi,AHK,SHZ",Automatik,Benzin
3455,3,1.0,48.0,548.42,128.0,6.0,116.0,Audi,A3 Sportback 30 TDI intense,Manuelle Schaltung,Diesel
3456,49,101655.0,48.0,353.5,132.0,6.0,150.0,Volkswagen,Passat VW Variant TDI SCR,Manuelle Schaltung,Diesel
3457,4,3500.0,48.0,668.69,135.0,5.0,150.0,Seat,Tarraco FR 1.5 TSI DSG,Automatik,Benzin
3458,4,30000.0,48.0,319.32,151.0,7.0,95.0,Seat,Arona FR Austria 1.0 TSI,Manuelle Schaltung,Benzin
3459,4,201.0,48.0,449.92,151.0,7.0,110.0,Seat,Ateca Austria Edition 1.0 TSI,Manuelle Schaltung,Benzin
3460,4,1.0,48.0,390.08,154.0,7.0,95.0,Volkswagen,Taigo VW Life TSI,Manuelle Schaltung,Benzin
3461,29,28611.0,36.0,1003.0,195.0,9.0,150.0,Citroën,SpaceTourer BlueHDI 150 S&S 6-Gang XL Business,Manuelle Schaltung,Diesel
3462,9,15000.0,48.0,288.98,96.0,4.0,95.0,Seat,Arona Austria Edition 1.0 TSI,Manuelle Schaltung,Benzin
3463,31,28500.0,48.0,668.04,135.0,5.0,170.0,BMW,i3 120 Ah *LED SCHEINW.*PDC*KOMFORTPAKET*,Automatik,Benzin
3464,10,20532.0,48.0,242.28,133.0,5.0,80.0,Seat,Ibiza Austria Edition,Manuelle Schaltung,Benzin
3465,3,201.0,48.0,1001.87,135.0,5.0,310.0,Cupra,Leon SP Kombi VZ 2.0 TSI DSG 4Drive 310,Automatik,Benzin
3466,7,201.0,48.0,324.5,180.0,8.0,95.0,Seat,Ibiza FR Austria 1.0 TSI,Manuelle Schaltung,Benzin
3467,4,30000.0,48.0,452.27,137.0,5.0,131.0,Seat,Leon SP Kombi FR 1.5 TSI ACT,Manuelle Schaltung,Benzin
3468,3,5000.0,48.0,612.07,348.0,15.0,150.0,Cupra,Formentor 1.5 TSI DSG ACT,Automatik,Benzin
3469,64,82490.0,36.0,407.58,139.0,5.0,116.0,Audi,A3 SB 1.6 TDI Sport,Manuelle Schaltung,Diesel
3470,4,201.0,48.0,350.86,118.0,5.0,95.0,Seat,Arona FR Austria 1.0 TSI,Manuelle Schaltung,Benzin
3471,3,5000.0,48.0,742.4,129.0,6.0,150.0,Cupra,Formentor e-HYBRID DSG,Automatik,Hybrid
3472,3,2000.0,48.0,377.92,129.0,6.0,110.0,Seat,Ateca Reference 1.0 TSI,Manuelle Schaltung,Benzin
3473,8,15000.0,48.0,592.84,155.0,6.0,150.0,Seat,Ateca FR 1.5 TSI ACT DSG,Automatik,Benzin
3474,8,20104.0,48.0,583.72,98.0,5.0,150.0,Seat,Ateca FR 1.5 TSI ACT DSG,Automatik,Benzin
3475,4,201.0,48.0,429.17,28.0,1.0,110.0,Seat,Arona FR Austria 1.0 TSI DSG,Automatik,Benzin
3476,4,201.0,48.0,366.35,,,95.0,Seat,Arona FR Austria 1.0 TSI,Manuelle Schaltung,Benzin
3477,8,6000.0,48.0,313.81,,,80.0,Seat,Ibiza FR Austria 1.0,Manuelle Schaltung,Benzin
3478,3,1.0,48.0,673.55,196.0,9.0,150.0,Cupra,Formentor 1.5 TSI DSG ACT,Automatik,Benzin
3479,3,5000.0,48.0,589.09,115.0,5.0,150.0,Cupra,Formentor 1.5 TSI DSG ACT,Automatik,Benzin
3480,70,120300.0,36.0,583.46,,,184.0,Volkswagen,Sharan VW Business TDI SCR 4MOTION DSG,Automatik,Diesel
3481,4,1045.0,48.0,596.28,,,150.0,Cupra,Formentor 1.5 TSI DSG ACT,Automatik,Benzin
3482,3,201.0,48.0,751.02,131.0,5.0,150.0,Seat,Tarraco FR 2.0 TDI DSG,Automatik,Diesel
3483,55,60779.0,48.0,411.98,129.0,5.0,125.0,Volkswagen,Tiguan VW Sky TSI,Manuelle Schaltung,Benzin
3484,66,51000.0,36.0,530.77,151.0,7.0,150.0,Seat,Alhambra Executive TSI,Manuelle Schaltung,Benzin
3485,4,5000.0,48.0,359.35,138.0,6.0,90.0,Seat,Leon SP Kombi Reference 1.0 TSI,Manuelle Schaltung,Benzin
3486,3,1000.0,48.0,618.67,118.0,5.0,150.0,Cupra,Formentor 1.5 TSI DSG ACT,Automatik,Benzin
3487,3,201.0,48.0,605.06,218.0,8.0,150.0,Seat,Ateca FR 1.5 TSI ACT DSG,Automatik,Benzin
3488,3,1.0,48.0,613.07,161.0,7.0,150.0,Seat,Ateca FR 1.5 TSI ACT DSG,Automatik,Benzin
3489,7,15000.0,48.0,347.5,125.0,6.0,90.0,Seat,Leon Reference 1.0 TSI,Manuelle Schaltung,Benzin
3490,45,39564.0,48.0,386.29,124.0,6.0,136.0,Opel,"Insignia GS 1.6 CDTI Innovation LED,Navi, AGR",Manuelle Schaltung,Diesel
3491,4,5000.0,48.0,596.57,41.0,2.0,150.0,Cupra,Formentor 1.5 TSI DSG ACT,Automatik,Benzin
3492,3,1000.0,48.0,623.09,140.0,6.0,150.0,Cupra,Formentor 1.5 TSI DSG ACT,Automatik,Benzin
3493,4,5000.0,48.0,359.35,150.0,7.0,90.0,Seat,Leon SP Kombi Reference 1.0 TSI,Manuelle Schaltung,Benzin
3494,3,201.0,48.0,348.5,145.0,6.0,95.0,Seat,Ibiza FR Austria 1.0 TSI,Manuelle Schaltung,Benzin
3495,3,5000.0,48.0,589.09,150.0,6.0,150.0,Cupra,Formentor 1.5 TSI DSG ACT,Automatik,Benzin
3496,6,890.0,48.0,949.0,123.0,5.0,204.0,Volkswagen,T7 Multivan T7 Multivan Life,Automatik,Benzin
3497,10,13390.0,48.0,408.8,125.0,6.0,95.0,Volkswagen,Taigo VW Life TSI,Manuelle Schaltung,Benzin
3498,5,14814.0,48.0,681.78,178.0,7.0,163.0,Audi,A4 Avant 35 TDI,Automatik,Diesel
3499,3,1.0,48.0,869.33,162.0,7.0,150.0,Cupra,Formentor VZ e-HYBRID DSG,Automatik,Hybrid
3500,2,10.0,48.0,703.46,120.0,5.0,150.0,Audi,Q3 Sportback 35 TFSI,Automatik,Benzin
3501,3,201.0,48.0,769.43,156.0,7.0,150.0,Skoda,Karoq ŠKODA 4x4 SPORTLINE TDI DSG,Automatik,Diesel
3502,3,10.0,48.0,393.44,188.0,8.0,95.0,Volkswagen,T-Cross VW Life TSI,Manuelle Schaltung,Benzin
3503,4,1.0,48.0,416.38,156.0,5.0,110.0,Volkswagen,Taigo VW Style TSI,Manuelle Schaltung,Benzin
3504,15,20.0,36.0,383.65,144.0,6.0,131.0,DS Automobiles,DS 3 3 PureTech 130 S&S EAT8 Aut.,Automatik,Benzin
3505,4,1.0,48.0,379.26,128.0,5.0,95.0,Volkswagen,T-Cross VW Life TSI,Manuelle Schaltung,Benzin
3506,3,1.0,48.0,409.49,131.0,6.0,95.0,Audi,A1 Sportback 25 TFSI intense,Manuelle Schaltung,Benzin
3507,3,1.0,48.0,409.49,130.0,6.0,95.0,Audi,A1 Sportback 25 TFSI intense,Manuelle Schaltung,Benzin
3508,3,1.0,48.0,1385.46,155.0,7.0,265.0,Audi,Q5 Sportback 55 TFSI e quattro S line,Automatik,Hybrid
3509,3,1.0,48.0,548.42,109.0,4.0,116.0,Audi,A3 Sportback 30 TDI intense,Manuelle Schaltung,Diesel
3510,3,301.0,48.0,415.98,30.0,1.0,95.0,Volkswagen,T-Cross VW Life TSI,Manuelle Schaltung,Benzin
3511,3,1.0,48.0,540.59,138.0,6.0,116.0,Audi,A3 Sportback 30 TDI intense,Manuelle Schaltung,Diesel
3512,4,1.0,48.0,316.86,152.0,7.0,80.0,Volkswagen,Polo VW,Manuelle Schaltung,Benzin
3513,4,1.0,48.0,574.46,152.0,7.0,116.0,Seat,Ateca Austria Edition 2.0 TDI,Manuelle Schaltung,Diesel
3514,4,1000.0,48.0,533.93,135.0,6.0,110.0,Seat,Ateca Austria Edition 1.0 TSI,Manuelle Schaltung,Benzin
3515,4,201.0,48.0,679.08,125.0,6.0,150.0,Cupra,Formentor 1.5 TSI DSG ACT,Automatik,Benzin
3516,4,2000.0,48.0,565.93,152.0,7.0,150.0,Seat,Ateca FR 1.5 TSI ACT DSG,Automatik,Benzin
3517,66,69385.0,36.0,680.74,31.0,1.0,239.0,Volkswagen,Tiguan VW Highline TDI SCR 4MOTION DSG,Automatik,Diesel
3518,55,63557.0,48.0,321.92,155.0,7.0,116.0,Volkswagen,T-Roc VW Design TSI OPF,Manuelle Schaltung,Benzin
3519,4,201.0,48.0,492.25,152.0,6.0,110.0,Seat,Ateca Austria Edition 1.0 TSI,Manuelle Schaltung,Benzin
3520,15,8932.0,48.0,311.59,154.0,7.0,101.0,Ford,"EcoSport 1,0 EcoBoost Cool & Connect",Manuelle Schaltung,Benzin
3521,4,1.0,48.0,397.16,146.0,6.0,95.0,Volkswagen,Taigo VW Life TSI,Manuelle Schaltung,Benzin
3522,4,1.0,48.0,316.62,137.0,6.0,80.0,Volkswagen,Polo VW,Manuelle Schaltung,Benzin
3523,4,0.0,48.0,483.49,149.0,6.0,110.0,Seat,Ateca Austria Edition 1.0 TSI,Manuelle Schaltung,Benzin
3524,4,1.0,48.0,316.62,195.0,9.0,80.0,Volkswagen,Polo VW,Manuelle Schaltung,Benzin
3525,3,10.0,48.0,480.48,155.0,7.0,110.0,Audi,A3 Sportback 30 TFSI intense,Automatik,Benzin
3526,6,1.0,48.0,324.0,151.0,7.0,69.0,Fiat,500 (312) Cabrio,Manuelle Schaltung,Benzin
3527,4,1.0,48.0,523.42,106.0,5.0,110.0,Audi,A3 Sportback 30 TFSI intense,Automatik,Benzin
3528,3,10.0,48.0,844.37,39.0,2.0,150.0,Volkswagen,Tiguan VW Allspace R-Line TDI 4MOTION DSG,Automatik,Diesel
3529,52,62000.0,48.0,705.88,154.0,7.0,190.0,BMW,520 d xDrive Sport Line Lim. (G30),Automatik,Diesel
3530,12,19946.0,48.0,1197.72,39.0,2.0,265.0,Audi,Q5 Sportback 55 TFSI e quattro S line,Automatik,Hybrid
3531,3,10.0,48.0,844.37,154.0,7.0,150.0,Volkswagen,Tiguan VW Allspace R-Line TDI 4MOTION DSG,Automatik,Diesel
3532,3,1147.0,48.0,717.94,155.0,7.0,150.0,Volkswagen,Tiguan VW R-Line TDI DSG,Automatik,Diesel
3533,25,35000.0,36.0,673.98,129.0,5.0,116.0,Mercedes-Benz,GLA 180 GLA 180 d,Automatik,Diesel
3534,4,201.0,48.0,459.1,123.0,6.0,110.0,Seat,Ateca Austria Edition 1.0 TSI,Manuelle Schaltung,Benzin
3535,4,201.0,48.0,434.95,34.0,2.0,110.0,Seat,Ateca Austria Edition 1.0 TSI,Manuelle Schaltung,Benzin
3536,4,201.0,48.0,434.95,158.0,6.0,110.0,Seat,Ateca Austria Edition 1.0 TSI,Manuelle Schaltung,Benzin
3537,4,5.0,48.0,304.88,131.0,6.0,80.0,Volkswagen,Polo VW,Manuelle Schaltung,Benzin
3538,4,5000.0,48.0,521.39,124.0,6.0,150.0,Seat,Ateca FR 1.5 TSI ACT,Manuelle Schaltung,Benzin
3539,4,15000.0,48.0,521.39,136.0,4.0,150.0,Seat,Ateca FR 1.5 TSI ACT,Manuelle Schaltung,Benzin
3540,4,5000.0,48.0,537.19,130.0,6.0,150.0,Seat,Ateca FR 1.5 TSI ACT,Manuelle Schaltung,Benzin
3541,4,4000.0,48.0,529.28,,,150.0,Seat,Ateca FR 1.5 TSI ACT,Manuelle Schaltung,Benzin
3542,4,5000.0,48.0,512.82,129.0,6.0,150.0,Seat,Ateca FR 1.5 TSI ACT,Manuelle Schaltung,Benzin
3543,4,1000.0,48.0,512.82,139.0,5.0,150.0,Seat,Ateca FR 1.5 TSI ACT,Manuelle Schaltung,Benzin
3544,4,5000.0,48.0,546.96,129.0,6.0,150.0,Seat,Ateca FR 1.5 TSI ACT DSG,Automatik,Benzin
3545,11,13500.0,48.0,561.76,118.0,5.0,150.0,Cupra,Formentor Alpha 1.5 TSI ACT,Manuelle Schaltung,Benzin
3546,50,79000.0,48.0,597.26,131.0,6.0,194.0,Mercedes-Benz,C 220 d T C -Klasse T-Modell //AHK//,Automatik,Diesel
3547,3,10.0,48.0,460.22,154.0,6.0,110.0,Audi,A1 allstreet 30 TFSI intense,Automatik,Benzin
3548,8,20000.0,48.0,577.8,156.0,7.0,150.0,Seat,Ateca FR 1.5 TSI ACT DSG,Automatik,Benzin
3549,22,23684.0,48.0,570.36,140.0,6.0,150.0,BMW,X2 xDrive18d,Automatik,Diesel
3550,64,188900.0,36.0,624.83,154.0,7.0,354.0,Audi,Q5 S quattro,Automatik,Benzin
3551,4,1.0,48.0,511.56,167.0,6.0,110.0,Seat,Ateca Xperience 1.0 TSI,Manuelle Schaltung,Benzin
3552,4,10.0,36.0,1538.53,161.0,7.0,193.0,Hyundai,"Santa Fe 5 Luxury Line 2,2 CRDi 4WD DCT s1dl0",Automatik,Diesel
3553,50,101100.0,48.0,758.56,119.0,6.0,190.0,BMW,520 d Touring G31*M-Paket*Leder*HeadUP*19Zoll*,Automatik,Benzin
3554,4,1000.0,48.0,274.61,139.0,6.0,60.0,Skoda,Fabia ŠKODA Combi Active SC,Manuelle Schaltung,Benzin
3555,7,6000.0,48.0,508.74,140.0,5.0,150.0,Seat,Ateca FR 1.5 TSI ACT,Manuelle Schaltung,Benzin
3556,20,17000.0,36.0,2100.01,124.0,6.0,394.0,BMW,X5 xDrive45e PHEV X-LINE,Automatik,Hybrid
