,brand,mileage,deposit,number_of_miles,first_registration,duration,monthly_fee,horsepower,kilowatts,fuel_type,emissions,consumption
8620,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"178,00 €",95 PS,70 kW,Benzin,117 g/km,"5,1 l/100 km"
8621,Seat,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"201,11 €",110 PS,81 kW,Benzin,144 g/km,"6,4 l/100 km"
8622,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"199,00 €",130 PS,96 kW,Benzin,148 g/km,"5,3 l/100 km"
8623,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"283,00 €",150 PS,110 kW,Benzin,139 g/km,"6,2 l/100 km"
8624,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",15 km,01/2023,30 Monate (anpassbar),"199,00 €",101 PS,74 kW,Benzin,133 g/km,"5,9 l/100 km"
8625,Volkswagen Golf,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"253,00 €",131 PS,96 kW,Benzin,104 g/km,"4,6 l/100 km"
8626,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",28.302 km,04/2022,36 Monate (anpassbar),"499,00 €",204 PS,150 kW,Diesel,129 g/km,"5,7 l/100 km"
8627,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"195,00 €",131 PS,96 kW,Benzin,131 g/km,"5,8 l/100 km"
8628,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"432,24 €",229 PS,168 kW,Elektro,134 g/km,"5,0 l/100 km"
8629,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"369,00 €",245 PS,180 kW,Benzin,128 g/km,"5,7 l/100 km"
8630,Suzuki,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"179,00 €",129 PS,95 kW,Benzin,155 g/km,"6,9 l/100 km"
8631,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"275,00 €",136 PS,100 kW,Elektro,130 g/km,"5,8 l/100 km"
8632,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"432,24 €",229 PS,168 kW,Elektro,153 g/km,"6,8 l/100 km"
8633,Alfa Romeo,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"284,01 €",160 PS,118 kW,Benzin,137 g/km,"6,0 l/100 km"
8634,MG,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"207,06 €",170 PS,125 kW,Elektro,147 g/km,"6,5 l/100 km"
8635,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"427,24 €",229 PS,168 kW,Elektro,149 g/km,"6,6 l/100 km"
8636,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"456,84 €",325 PS,239 kW,Elektro,144 g/km,"6,4 l/100 km"
8637,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"188,00 €",130 PS,96 kW,Benzin,198 g/km,"7,3 l/100 km"
8638,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",20.599 km,05/2022,36 Monate (anpassbar),"489,00 €",286 PS,210 kW,Diesel,121 g/km,"5,4 l/100 km"
8639,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"229,00 €",130 PS,96 kW,Benzin,144 g/km,"5,5 l/100 km"
8640,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"229,00 €",131 PS,96 kW,Benzin,126 g/km,"5,0 l/100 km"
