,brand,mileage,deposit,number_of_miles,first_registration,duration,monthly_fee,horsepower,kilowatts,fuel_type,emissions,consumption
0,Ford,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"239,00 €",125 PS,92 kW,Benzin,97 g/km,"4,3 l/100 km"
1,Nissan,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"379,00 €",158 PS,116 kW,Benzin,125 g/km,"5,5 l/100 km"
2,Ford,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"319,00 €",155 PS,114 kW,Benzin,119 g/km,"5,2 l/100 km"
3,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"415,00 €",190 PS,140 kW,Benzin,157 g/km,"6,9 l/100 km"
4,Volkswagen Golf,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"409,00 €",245 PS,180 kW,Benzin,149 g/km,"6,5 l/100 km"
5,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"299,00 €",110 PS,81 kW,Benzin,110 g/km,"4,8 l/100 km"
6,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"397,00 €",150 PS,110 kW,Benzin,126 g/km,"5,5 l/100 km"
7,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"399,00 €",150 PS,110 kW,Benzin,115 g/km,"5,0 l/100 km"
8,MG,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"229,00 €",170 PS,125 kW,Elektro,,
9,Fiat,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"99,00 €",69 PS,51 kW,Benzin,112 g/km,"4,9 l/100 km"
10,Volvo,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"355,81 €",197 PS,145 kW,Diesel,155 g/km,"5,9 l/100 km"
11,Jeep,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"245,00 €",156 PS,115 kW,Elektro,,
12,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"159,00 €",95 PS,70 kW,Benzin,130 g/km,"5,7 l/100 km"
13,Toyota,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"350,53 €",122 PS,90 kW,Hybrid,115 g/km,"4,9 l/100 km"
14,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"168,00 €",131 PS,96 kW,Benzin,109 g/km,"4,8 l/100 km"
15,Fiat,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"199,00 €",118 PS,87 kW,Elektro,,
16,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"178,00 €",131 PS,96 kW,Benzin,109 g/km,"4,8 l/100 km"
17,Jeep,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"229,00 €",156 PS,115 kW,Elektro,,
18,Toyota,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"330,51 €",122 PS,90 kW,Hybrid,115 g/km,"4,9 l/100 km"
19,Jeep,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"248,00 €",156 PS,115 kW,Elektro,,
20,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"144,00 €",80 PS,59 kW,Benzin,124 g/km,"5,5 l/100 km"
21,MG,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"207,05 €",170 PS,125 kW,Elektro,,
22,Seat,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,12 Monate (anpassbar),"117,81 €",110 PS,81 kW,Benzin,132 g/km,"5,8 l/100 km"
23,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"149,00 €",100 PS,74 kW,Benzin,124 g/km,"5,5 l/100 km"
24,Jeep,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"248,38 €",156 PS,115 kW,Elektro,,
25,Citroën,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"164,00 €",131 PS,96 kW,Benzin,123 g/km,"5,4 l/100 km"
26,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"407,77 €",150 PS,110 kW,Diesel,140 g/km,"5,3 l/100 km"
27,Dacia,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"111,11 €",45 PS,33 kW,Elektro,,
28,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"259,43 €",150 PS,110 kW,Benzin,143 g/km,"5,5 l/100 km"
29,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,30 Monate (anpassbar),"222,00 €",131 PS,96 kW,Benzin,135 g/km,"6,0 l/100 km"
30,Fiat,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"198,97 €",118 PS,87 kW,Elektro,,
31,DS Automobiles,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,12 Monate (anpassbar),"177,00 €",130 PS,96 kW,Diesel,148 g/km,"5,3 l/100 km"
32,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"165,41 €",131 PS,96 kW,Benzin,140 g/km,"6,2 l/100 km"
33,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"436,00 €",150 PS,110 kW,Diesel,140 g/km,"5,3 l/100 km"
34,Citroën,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,12 Monate (anpassbar),"98,00 €",83 PS,61 kW,Benzin,123 g/km,"5,5 l/100 km"
35,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"189,21 €",131 PS,96 kW,Benzin,144 g/km,"6,4 l/100 km"
36,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"198,00 €",131 PS,96 kW,Benzin,144 g/km,"6,4 l/100 km"
37,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",25 km,Neuwagen,12 Monate (anpassbar),"368,90 €",265 PS,195 kW,Benzin,156 g/km,"6,8 l/100 km"
38,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,18 Monate (anpassbar),"224,91 €",310 PS,228 kW,Benzin,192 g/km,"7,7 l/100 km"
39,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"228,00 €",131 PS,96 kW,Benzin,149 g/km,"6,6 l/100 km"
40,Mercedes-Benz,10.000 km (anpassbar),"0,00 € (anpassbar)",5.000 km,03/2023,48 Monate (anpassbar),"594,99 €",330 PS,243 kW,Diesel,167 g/km,"6,3 l/100 km"
41,Citroën,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"178,00 €",131 PS,96 kW,Benzin,132 g/km,"5,9 l/100 km"
42,Volvo,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"296,00 €",200 PS,147 kW,Diesel,155 g/km,"5,9 l/100 km"
43,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"239,00 €",131 PS,96 kW,Benzin,144 g/km,"6,2 l/100 km"
44,Ford,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"189,00 €",125 PS,92 kW,Hybrid,97 g/km,"4,3 l/100 km"
45,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"249,00 €",131 PS,96 kW,Benzin,150 g/km,"6,7 l/100 km"
46,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,03/2023,48 Monate (anpassbar),"148,00 €",80 PS,59 kW,Benzin,124 g/km,"5,5 l/100 km"
47,Citroën,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"182,00 €",131 PS,96 kW,Benzin,132 g/km,"5,9 l/100 km"
48,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"274,06 €",170 PS,125 kW,Elektro,,
49,Jeep,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"244,00 €",156 PS,115 kW,Elektro,,
50,Citroën,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"181,00 €",130 PS,96 kW,Benzin,123 g/km,"5,4 l/100 km"
51,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"235,00 €",131 PS,96 kW,Benzin,146 g/km,"6,5 l/100 km"
52,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"239,00 €",131 PS,96 kW,Benzin,146 g/km,"6,5 l/100 km"
53,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"179,00 €",130 PS,96 kW,Benzin,139 g/km,"6,1 l/100 km"
54,Toyota,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,30 Monate (anpassbar),"145,70 €",72 PS,53 kW,Benzin,101 g/km,"4,5 l/100 km"
55,Fiat,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"236,00 €",118 PS,87 kW,Elektro,,
56,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,18 Monate (anpassbar),"199,00 €",110 PS,81 kW,Benzin,151 g/km,"6,7 l/100 km"
57,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"265,00 €",131 PS,96 kW,Diesel,130 g/km,"5,5 l/100 km"
58,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"189,00 €",100 PS,74 kW,Benzin,124 g/km,"5,5 l/100 km"
59,Dacia,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"129,71 €",44 PS,32 kW,Elektro,,
60,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,03/2023,48 Monate (anpassbar),"257,00 €",131 PS,96 kW,Benzin,141 g/km,"6,2 l/100 km"
61,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,03/2023,48 Monate (anpassbar),"179,00 €",95 PS,70 kW,Benzin,134 g/km,"5,9 l/100 km"
62,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"204,00 €",110 PS,81 kW,Benzin,135 g/km,"5,9 l/100 km"
63,Nissan,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"224,91 €",122 PS,90 kW,Elektro,,
64,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,30 Monate (anpassbar),"136,00 €",75 PS,55 kW,Benzin,130 g/km,"5,0 l/100 km"
65,Ora Funky Cat,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"247,00 €",171 PS,126 kW,Elektro,,
66,Citroën,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,12 Monate (anpassbar),"139,99 €",130 PS,96 kW,Benzin,143 g/km,"6,3 l/100 km"
67,Ora Funky Cat,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,42 Monate (anpassbar),"223,00 €",171 PS,126 kW,Elektro,,
68,DS Automobiles,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,12 Monate (anpassbar),"194,00 €",130 PS,96 kW,Benzin,138 g/km,"6,3 l/100 km"
69,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"164,00 €",80 PS,59 kW,Benzin,124 g/km,"5,5 l/100 km"
70,Dacia,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"133,60 €",45 PS,33 kW,Elektro,,
71,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"210,00 €",130 PS,96 kW,Benzin,144 g/km,"6,4 l/100 km"
72,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"185,00 €",95 PS,70 kW,Benzin,124 g/km,"5,5 l/100 km"
73,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"258,90 €",136 PS,100 kW,Elektro,,
74,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"261,84 €",136 PS,100 kW,Elektro,,
75,Fiat,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"222,00 €",118 PS,87 kW,Elektro,,
76,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,30 Monate (anpassbar),"195,00 €",101 PS,74 kW,Benzin,134 g/km,"5,9 l/100 km"
77,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"239,00 €",95 PS,70 kW,Benzin,123 g/km,"5,0 l/100 km"
78,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"218,51 €",131 PS,96 kW,Benzin,145 g/km,"6,4 l/100 km"
79,DS Automobiles,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"269,00 €",131 PS,96 kW,Diesel,143 g/km,"5,5 l/100 km"
80,MG,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"220,14 €",170 PS,125 kW,Elektro,,
81,DS Automobiles,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"269,00 €",130 PS,96 kW,Benzin,146 g/km,"5,6 l/100 km"
82,Ford,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"236,81 €",170 PS,125 kW,Diesel,228 g/km,"8,7 l/100 km"
83,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,36 Monate (anpassbar),"215,00 €",96 PS,71 kW,Benzin,140 g/km,"6,2 l/100 km"
84,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,30 Monate (anpassbar),"219,00 €",131 PS,96 kW,Benzin,136 g/km,"4,6 l/100 km"
85,Alfa Romeo,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"358,00 €",209 PS,154 kW,Diesel,157 g/km,"6,0 l/100 km"
86,Ford,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"445,96 €",294 PS,216 kW,Elektro,,
87,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,30 Monate (anpassbar),"199,00 €",131 PS,96 kW,Benzin,136 g/km,"4,6 l/100 km"
88,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,30 Monate (anpassbar),"189,00 €",101 PS,74 kW,Benzin,136 g/km,"4,6 l/100 km"
89,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"178,00 €",95 PS,70 kW,Benzin,125 g/km,"5,5 l/100 km"
90,Seat,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"201,11 €",110 PS,81 kW,Benzin,121 g/km,"5,3 l/100 km"
91,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"199,00 €",130 PS,96 kW,Benzin,138 g/km,"6,2 l/100 km"
92,Suzuki,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"199,00 €",129 PS,95 kW,Benzin,120 g/km,"5,3 l/100 km"
93,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",8 km,Neuwagen,48 Monate (anpassbar),"199,00 €",95 PS,70 kW,Benzin,105 g/km,"4,6 l/100 km"
94,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,30 Monate (anpassbar),"169,00 €",101 PS,74 kW,Benzin,136 g/km,"4,6 l/100 km"
95,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"283,00 €",150 PS,110 kW,Benzin,151 g/km,"6,7 l/100 km"
96,Volkswagen Golf,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"248,00 €",131 PS,96 kW,Benzin,121 g/km,"5,4 l/100 km"
97,Suzuki,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"219,00 €",129 PS,95 kW,Benzin,132 g/km,"5,8 l/100 km"
98,Jeep,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"239,00 €",156 PS,115 kW,Elektro,,
99,Volkswagen Golf,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"253,00 €",131 PS,96 kW,Benzin,117 g/km,"5,1 l/100 km"
100,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"262,91 €",136 PS,100 kW,Elektro,,
101,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,36 Monate (anpassbar),"250,00 €",131 PS,96 kW,Benzin,144 g/km,"6,4 l/100 km"
102,Suzuki,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"179,00 €",129 PS,95 kW,Benzin,120 g/km,"5,3 l/100 km"
103,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",15 km,01/2023,30 Monate (anpassbar),"199,00 €",101 PS,74 kW,Benzin,125 g/km,"5,8 l/100 km"
104,MG,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"219,00 €",170 PS,125 kW,Elektro,,
105,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"369,00 €",245 PS,180 kW,Benzin,174 g/km,"7,7 l/100 km"
106,Ford,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"399,96 €",269 PS,198 kW,Elektro,,
107,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"199,00 €",131 PS,96 kW,Benzin,140 g/km,"6,2 l/100 km"
108,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"209,00 €",110 PS,81 kW,Benzin,133 g/km,"5,9 l/100 km"
109,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",28.302 km,04/2022,36 Monate (anpassbar),"499,00 €",204 PS,150 kW,Diesel,140 g/km,"5,3 l/100 km"
110,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"195,00 €",131 PS,96 kW,Benzin,139 g/km,"6,2 l/100 km"
111,Dacia,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"169,00 €",45 PS,33 kW,Elektro,,
112,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",4.500 km,06/2022,36 Monate (anpassbar),"219,00 €",101 PS,74 kW,Benzin,104 g/km,"4,6 l/100 km"
113,Alfa Romeo,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"284,01 €",160 PS,118 kW,Benzin,139 g/km,"5,4 l/100 km"
114,Renault,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"139,77 €",91 PS,67 kW,Benzin,118 g/km,"5,2 l/100 km"
115,Renault,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"149,00 €",90 PS,66 kW,Benzin,129 g/km,"5,7 l/100 km"
116,Citroën,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"249,00 €",131 PS,96 kW,Benzin,130 g/km,"5,6 l/100 km"
117,MG,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"207,06 €",170 PS,125 kW,Elektro,,
118,Nissan,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,02/2023,48 Monate (anpassbar),"225,00 €",122 PS,90 kW,Elektro,,
119,Citroën,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"179,82 €",131 PS,96 kW,Benzin,131 g/km,"5,8 l/100 km"
120,Ford,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"413,64 €",269 PS,198 kW,Elektro,,
121,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"255,00 €",110 PS,81 kW,Benzin,134 g/km,"5,0 l/100 km"
122,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",20.599 km,05/2022,36 Monate (anpassbar),"489,00 €",286 PS,210 kW,Diesel,176 g/km,"6,7 l/100 km"
123,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"229,00 €",130 PS,96 kW,Benzin,153 g/km,"6,8 l/100 km"
124,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,03/2023,48 Monate (anpassbar),"314,00 €",150 PS,110 kW,Benzin,155 g/km,"6,9 l/100 km"
125,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"209,00 €",131 PS,96 kW,Benzin,131 g/km,"5,8 l/100 km"
126,Citroën,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,12 Monate (anpassbar),"149,00 €",130 PS,96 kW,Benzin,130 g/km,"5,8 l/100 km"
127,Ford,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"199,00 €",125 PS,92 kW,Hybrid,97 g/km,"4,3 l/100 km"
128,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"263,34 €",131 PS,96 kW,Benzin,147 g/km,"6,5 l/100 km"
129,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"312,00 €",136 PS,100 kW,Elektro,,
130,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"219,00 €",110 PS,81 kW,Benzin,137 g/km,"6,0 l/100 km"
131,Fiat,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"264,95 €",118 PS,87 kW,Elektro,,
132,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"219,00 €",131 PS,96 kW,Benzin,149 g/km,"6,6 l/100 km"
133,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"274,35 €",131 PS,96 kW,Benzin,150 g/km,"6,6 l/100 km"
134,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"229,00 €",131 PS,96 kW,Benzin,144 g/km,"6,4 l/100 km"
135,Volkswagen Golf,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"251,00 €",130 PS,96 kW,Benzin,121 g/km,"5,4 l/100 km"
136,Fiat,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"190,00 €",95 PS,70 kW,Elektro,,
137,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,36 Monate (anpassbar),"199,99 €",96 PS,71 kW,Benzin,128 g/km,"5,7 l/100 km"
138,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,12 Monate (anpassbar),"235,62 €",300 PS,221 kW,Benzin,198 g/km,"7,3 l/100 km"
139,Fiat,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"265,08 €",118 PS,87 kW,Elektro,,
140,Ford,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"425,52 €",269 PS,198 kW,Elektro,,
141,Fiat,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"119,00 €",70 PS,51 kW,Benzin,112 g/km,"4,9 l/100 km"
142,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"303,00 €",151 PS,111 kW,Elektro,,
143,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"333,33 €",131 PS,96 kW,Diesel,144 g/km,"5,5 l/100 km"
144,Ford,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"484,60 €",269 PS,198 kW,Elektro,,
145,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"566,44 €",313 PS,230 kW,Elektro,,
146,Ford,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"406,98 €",184 PS,135 kW,Elektro,,
147,Ford,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"396,27 €",184 PS,135 kW,Elektro,,
148,Renault,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"292,02 €",131 PS,96 kW,Elektro,,
149,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"255,00 €",131 PS,96 kW,Benzin,134 g/km,"5,9 l/100 km"
150,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"469,82 €",325 PS,239 kW,Elektro,,
